var1,var2,test_name,correlation,p_value,significant,alpha,interpretation,strength,direction
flesch_reading_ease,long_words_ratio,Coefficiente di correlazione di Pearson,-0.47862771893374795,0.0,True,0.05,"La correlazione è statisticamente significativa (p = 0.0000)
La correlazione è moderata e negativa (r = -0.4786)",moderata,negativa
flesch_reading_ease,culture_score,Coefficiente di correlazione di Pearson,0.7178203008417954,0.0,True,0.05,"La correlazione è statisticamente significativa (p = 0.0000)
La correlazione è molto forte e positiva (r = 0.7178)",molto forte,positiva
type_token_ratio,formal_language_score,Coefficiente di correlazione di Pearson,0.8564660003739085,0.0,True,0.05,"La correlazione è statisticamente significativa (p = 0.0000)
La correlazione è molto forte e positiva (r = 0.8565)",molto forte,positiva
type_token_ratio,vocabulary_richness,Coefficiente di correlazione di Pearson,0.9790364744059873,0.0,True,0.05,"La correlazione è statisticamente significativa (p = 0.0000)
La correlazione è molto forte e positiva (r = 0.9790)",molto forte,positiva
type_token_ratio,avg_word_length,Coefficiente di correlazione di Pearson,0.6756902977031934,0.0,True,0.05,"La correlazione è statisticamente significativa (p = 0.0000)
La correlazione è forte e positiva (r = 0.6757)",forte,positiva
type_token_ratio,long_words_ratio,Coefficiente di correlazione di Pearson,0.36089337970891316,0.0,True,0.05,"La correlazione è statisticamente significativa (p = 0.0000)
La correlazione è moderata e positiva (r = 0.3609)",moderata,positiva
type_token_ratio,culture_score,Coefficiente di correlazione di Pearson,0.8039261373980464,0.0,True,0.05,"La correlazione è statisticamente significativa (p = 0.0000)
La correlazione è molto forte e positiva (r = 0.8039)",molto forte,positiva
formal_language_score,vocabulary_richness,Coefficiente di correlazione di Pearson,0.8116966821272028,0.0,True,0.05,"La correlazione è statisticamente significativa (p = 0.0000)
La correlazione è molto forte e positiva (r = 0.8117)",molto forte,positiva
formal_language_score,avg_word_length,Coefficiente di correlazione di Pearson,0.7263082427653091,0.0,True,0.05,"La correlazione è statisticamente significativa (p = 0.0000)
La correlazione è molto forte e positiva (r = 0.7263)",molto forte,positiva
formal_language_score,long_words_ratio,Coefficiente di correlazione di Pearson,0.42194543359600345,0.0,True,0.05,"La correlazione è statisticamente significativa (p = 0.0000)
La correlazione è moderata e positiva (r = 0.4219)",moderata,positiva
formal_language_score,culture_score,Coefficiente di correlazione di Pearson,0.6803283208234191,0.0,True,0.05,"La correlazione è statisticamente significativa (p = 0.0000)
La correlazione è forte e positiva (r = 0.6803)",forte,positiva
vocabulary_richness,avg_word_length,Coefficiente di correlazione di Pearson,0.6532072649678763,0.0,True,0.05,"La correlazione è statisticamente significativa (p = 0.0000)
La correlazione è forte e positiva (r = 0.6532)",forte,positiva
vocabulary_richness,long_words_ratio,Coefficiente di correlazione di Pearson,0.3639114771161603,0.0,True,0.05,"La correlazione è statisticamente significativa (p = 0.0000)
La correlazione è moderata e positiva (r = 0.3639)",moderata,positiva
vocabulary_richness,culture_score,Coefficiente di correlazione di Pearson,0.7807732252146566,0.0,True,0.05,"La correlazione è statisticamente significativa (p = 0.0000)
La correlazione è molto forte e positiva (r = 0.7808)",molto forte,positiva
avg_word_length,long_words_ratio,Coefficiente di correlazione di Pearson,0.7561394636391398,0.0,True,0.05,"La correlazione è statisticamente significativa (p = 0.0000)
La correlazione è molto forte e positiva (r = 0.7561)",molto forte,positiva
avg_word_length,culture_score,Coefficiente di correlazione di Pearson,0.3447254808118383,0.0,True,0.05,"La correlazione è statisticamente significativa (p = 0.0000)
La correlazione è moderata e positiva (r = 0.3447)",moderata,positiva
long_words_ratio,culture_score,Coefficiente di correlazione di Pearson,-0.015144331844733544,1.0708353464646716e-06,True,0.05,"La correlazione è statisticamente significativa (p = 0.0000)
La correlazione è trascurabile e negativa (r = -0.0151)",trascurabile,negativa
